species,web_local,mode
Brachypteracias_leptosomus,web=GCA_013401335.1
Bradypus_variegatus,web=GCA_004027775.1
Branta_canadensis,web=GCA_006130075.1
Bregmaceros_cantori,web=GCA_900302395.1
Brevimyrus_niger,web=GCA_015164015.1
Brosme_brosme,web=GCA_900302425.1
Brotula_barbata,web=GCA_900303265.1
Bubalus_bubalis,web=GCA_003121395.1
Bubo_scandiacus,web=GCA_017315185.1
Bucco_capensis,web=GCA_013396975.1
Buceros_rhinoceros_silvestris,web=GCA_000710305.1
Bucorvus_abyssinicus,web=GCA_009769605.1
Bufo_bufo,web=GCA_905171765.1
Bujurquina_vittata,web=GCA_015106715.1
Buphagus_erythrorhynchus,web=GCA_013400855.1
Burhinus_oedicnemus,web=GCA_008921705.1
Buteo_japonicus,web=GCA_010312235.1
Cairina_moschata,web=GCA_018104995.1
Calcarius_ornatus,web=GCA_013397715.1
Calidris_pugnax,web=GCA_001431845.1
Callaeas_wilsoni,web=GCA_013398955.1
Callionymus_lyra,web=GCA_016630915.1
Callipepla_squamata,web=GCA_002218305.1
Callithrix_jacchus,web=GCA_009663435.2
Callochromis_pleurospilus,web=GCA_015110035.1
Callopanchax_toddi,web=GCA_006937965.1
Callorhinchus_milii,web=GCA_000165045.2
Callorhinus_ursinus,web=GCA_003265705.1
Caloenas_nicobarica,web=GCA_013398195.1
Calonectris_borealis,web=GCA_013401115.1
Calypte_anna,web=GCA_003957555.2
Calyptomena_viridis,web=GCA_013390005.1
Camarhynchus_parvulus,web=GCA_901933205.1
Camelus_dromedarius,web=GCA_000803125.3
Campylorhamphus_procurvoides,web=GCA_013396655.1
Canis_lupus,web=GCA_905319855.2
Capra_hircus,web=GCA_001704415.1
Capreolus_pygargus,web=GCA_012922965.1
Capromys_pilorides,web=GCA_004027915.1
Caracal_caracal,web=GCA_016801355.1
Carapus_acus,web=GCA_900312935.1
Carassius_auratus,web=GCA_003368295.1
Carcharodon_carcharias,web=GCA_017639515.1
Cardinalis_cardinalis,web=GCA_014549065.1
